detected_date,previous_vintage_date,state_name,report_date,data_type,field,old_value,new_value,source
2026-05-09,2026-05-08,Wisconsin,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Wisconsin,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Wisconsin,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Wisconsin,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,West Virginia,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,West Virginia,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,West Virginia,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,West Virginia,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Wyoming,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Wyoming,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Wyoming,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Wyoming,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
